Unnamed: 0,Restaurant Name,Address,Barangay,City / Town,Province,Price Range (Max), Specialty ,Other Data,Author,Review
1,Kalui Seafood Restaurant,"369 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0,"Filipino, Asian, Seafood, Vegetarian options",Outdoor seating?redit cards acceptedBookingNo deliveryTakeawayNot wheelchair accessibleWi-FiTV,Hans Suarez,Food is ok. Setting of the restaurant suits the simplistic life that it reflects mainly as a seafood restaurant
1,Kalui Seafood Restaurant,"369 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0,"Filipino, Asian, Seafood, Vegetarian options",Outdoor seating?redit cards acceptedBookingNo deliveryTakeawayNot wheelchair accessibleWi-FiTV,JAM P,"We are here about 10 years ago and again about 6 years ago. The first time it was an 8/10 second time 6/10 but this time 9/10. The food was really exceptionally good. We had tuna sashimi for starters. Very fresh with Japanese soy sauce and wasabi. Martin courses were blue marlin, prawn skewers and seafood sisig. The were presented beautifully and tasted even better. Service was great and the atmosphere wonderful. Not cheap but great value. Highly recommend."
1,Kalui Seafood Restaurant,"369 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0,"Filipino, Asian, Seafood, Vegetarian options",Outdoor seating?redit cards acceptedBookingNo deliveryTakeawayNot wheelchair accessibleWi-FiTV,Glenn Tan,"It was our last night in Puerto Princesa and we tried this restaurant out of curiosity when we pass by. We ordered lato salad, tuna and prawn sinigang, sizzling squid, shrimps in garlic butter, whole coconut and mango shake. Fast service, great atmosphere and awesome foods and drinks. The seafood is very fresh! It was the best food we ate in Philippines by far~ If I come back to Puerto Princesa, will definitely visit again!"
1,Kalui Seafood Restaurant,"369 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0,"Filipino, Asian, Seafood, Vegetarian options",Outdoor seating?redit cards acceptedBookingNo deliveryTakeawayNot wheelchair accessibleWi-FiTV,She Christie,"It was our last night in Puerto Princesa and we tried this restaurant out of curiosity when we pass by. We ordered lato salad, tuna and prawn sinigang, sizzling squid, shrimps in garlic butter, whole coconut and mango shake. Fast service, great atmosphere and awesome foods and drinks. The seafood is very fresh! It was the best food we ate in Philippines by far~ If I come back to Puerto Princesa, will definitely visit again!"
1,Kalui Seafood Restaurant,"369 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0,"Filipino, Asian, Seafood, Vegetarian options",Outdoor seating?redit cards acceptedBookingNo deliveryTakeawayNot wheelchair accessibleWi-FiTV,Sheila Galing,Excellent food! Very nice ambiance
1,Kalui Seafood Restaurant,"369 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0,"Filipino, Asian, Seafood, Vegetarian options",Outdoor seating?redit cards acceptedBookingNo deliveryTakeawayNot wheelchair accessibleWi-FiTV,Al HÃ¸knes,Nice atmosphere and quiet enough to be able to speak with the people at your table. Food is top notch. A must visit in PPC for sure.
1,Kalui Seafood Restaurant,"369 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0,"Filipino, Asian, Seafood, Vegetarian options",Outdoor seating?redit cards acceptedBookingNo deliveryTakeawayNot wheelchair accessibleWi-FiTV,Kukie Bohrs,"Quite distinctive Sea grapes, fish, and even pillars have surprises."
1,Kalui Seafood Restaurant,"369 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0,"Filipino, Asian, Seafood, Vegetarian options",Outdoor seating?redit cards acceptedBookingNo deliveryTakeawayNot wheelchair accessibleWi-FiTV,Sonny Dey,They actually serve the Ka Lui experienceÂ the quaint ambience! The foods serve are works of art. Vegetarian options: Lots of vegetarian options. Kid-friendliness: Safe for kids. Honey feeling.
1,Kalui Seafood Restaurant,"369 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0,"Filipino, Asian, Seafood, Vegetarian options",Outdoor seating?redit cards acceptedBookingNo deliveryTakeawayNot wheelchair accessibleWi-FiTV,Anjel Es,The service and food was the best!! Great job!
1,Kalui Seafood Restaurant,"369 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0,"Filipino, Asian, Seafood, Vegetarian options",Outdoor seating?redit cards acceptedBookingNo deliveryTakeawayNot wheelchair accessibleWi-FiTV,Arte Postal,"If you are doubting whether to go or not, my recommendation is that you go. The price-quality ratio is adequate, and the service and location are excellent. The food was delicious. We (two people) ordered: the Blue Martin menu, which comes with soup, rice, seaweed and tempura vegetables; Shrimps; and the Tubbataha salad. To drink, two beers and two mango shakes, all 1496 pesos. They also serve cold water and the restaurant had fans."
1,Kalui Seafood Restaurant,"369 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0,"Filipino, Asian, Seafood, Vegetarian options",Outdoor seating?redit cards acceptedBookingNo deliveryTakeawayNot wheelchair accessibleWi-FiTV,Alex Etxezarreta,"Really nice restaurant in Puerto Princesa, I could say the best one! Clean and calm space, with very tasty seafood. I would recomend it to anyone staying in Puerto Princesa."
1,Kalui Seafood Restaurant,"369 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0,"Filipino, Asian, Seafood, Vegetarian options",Outdoor seating?redit cards acceptedBookingNo deliveryTakeawayNot wheelchair accessibleWi-FiTV,Philip Telan,I tried out of curiosity based on reviews. The food was what was expected from the reviews The place felt homey as you have to get in and lounge around on bare foot. It was sparkling clean. Highly recommended!!!!
1,Kalui Seafood Restaurant,"369 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0,"Filipino, Asian, Seafood, Vegetarian options",Outdoor seating?redit cards acceptedBookingNo deliveryTakeawayNot wheelchair accessibleWi-FiTV,Kate Fan,"Very comfortable Filipino-style (?) space, the environment is beautiful, especially on rainy days. The service staff always listened to the needs with a smile and waited patiently for us to communicate in limited English. The seafood is very fresh, the seasoning is sweet but delicious. The juice of green mango + ginger is refreshing and goes well with seafood dishes. The clear soup after taking a seat is amazing, slightly sweet and gingery, which will not appear on the table of Taiwanese. The final dessert was too rich and sweet for us, but still tasty. Four cups of drinks, crabs, fresh fish, mixed vegetables, fruits, desserts, a total of 2,700 Philippine dollars. A happy dinner time that satisfies the taste and feels comfortable, is worth it!"
1,Kalui Seafood Restaurant,"369 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0,"Filipino, Asian, Seafood, Vegetarian options",Outdoor seating?redit cards acceptedBookingNo deliveryTakeawayNot wheelchair accessibleWi-FiTV,Wex C.,Location is very accessible. They are known for their seafood dishes which are really delicious as they only use fresh ingredients and fresh produce. Ambiance is very relaxed and family friendly (need to take off your footwear before you enter) so I suggest you wear slippers to lessen the burden of removing and wearing your shoes. Place could be busy most of the time so don't go there when you're really hungry. But it's worth the wait. Making a reservation before you visit is highly recommended. I only gave 4 stars because they don't have a parking space.
1,Kalui Seafood Restaurant,"369 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0,"Filipino, Asian, Seafood, Vegetarian options",Outdoor seating?redit cards acceptedBookingNo deliveryTakeawayNot wheelchair accessibleWi-FiTV,George Aumann,They serve seafood and it tasted really good.
1,Kalui Seafood Restaurant,"369 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0,"Filipino, Asian, Seafood, Vegetarian options",Outdoor seating?redit cards acceptedBookingNo deliveryTakeawayNot wheelchair accessibleWi-FiTV,Alex,The place itself looks very nice but the food was not very good and the cocktail also wasn't.
1,Kalui Seafood Restaurant,"369 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0,"Filipino, Asian, Seafood, Vegetarian options",Outdoor seating?redit cards acceptedBookingNo deliveryTakeawayNot wheelchair accessibleWi-FiTV,Naiana V,"Overrated! Ants on the table normal food, nothing beyond the basic and expected"
1,Kalui Seafood Restaurant,"369 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0,"Filipino, Asian, Seafood, Vegetarian options",Outdoor seating?redit cards acceptedBookingNo deliveryTakeawayNot wheelchair accessibleWi-FiTV,Avril Mari Alocillo,This is a restaurant you should not miss if youÂre visiting Puerto Princesa. They have perfected the seafood cuisine! Everything we ordered was meticulously prepared. Would definitely go back!
3,Ima's Vegetarian Restaurant,"333 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0," Vegetarian Vegetarian, Mexican ",Outdoor seatingTakeawayDeliveryBookingWheelchair accessible,Prahlad Agarwal,"The food is pretty good for Palawan, but just a single lady running the show. Had to wait more than an hour for the food to arrive. Also portion size is smaller so order 2 portions per person. Food: 5 Service: 2 Atmosphere: 3"
3,Ima's Vegetarian Restaurant,"333 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0," Vegetarian Vegetarian, Mexican ",Outdoor seatingTakeawayDeliveryBookingWheelchair accessible,Toshi Tanaka,"Great little vegan outlet. Elderly owners are very friendly and helpful. The food is great, good value, and a lot of healthy options. It used to be located over the block, this is a prettier setting. Food: 5 Service: 5 Atmosphere: 5"
3,Ima's Vegetarian Restaurant,"333 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0," Vegetarian Vegetarian, Mexican ",Outdoor seatingTakeawayDeliveryBookingWheelchair accessible,Julie Turin (JulieSmile),super cabbage place in the middle of princesa stone town offering vegetarian food only! you eat surrounded by plants and the food is super good!
3,Ima's Vegetarian Restaurant,"333 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0," Vegetarian Vegetarian, Mexican ",Outdoor seatingTakeawayDeliveryBookingWheelchair accessible,Linda Pizarro,"Very nice place and friendly staff! Many vegan/vegetarian options and delicious food! Service: Dine in Meal type: Lunch Price per person: ?1Â200 Food: 5 Service: 5 Atmosphere: 5 Recommended dishes: Tempeh Steak, Chimichanga, Broccoli and Tofu"
3,Ima's Vegetarian Restaurant,"333 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0," Vegetarian Vegetarian, Mexican ",Outdoor seatingTakeawayDeliveryBookingWheelchair accessible,Der Huhu,"One of the best restaurants in Palawan, the owners are super nice the servings are not too small. If you are vegan remind them as you order! Vegetarian options: They can veganice nearly the whole menu! Service: Dine in Meal type: Lunch Price per person: ?1Â200 Food: 5 Service: 5 Atmosphere: 5"
3,Ima's Vegetarian Restaurant,"333 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0," Vegetarian Vegetarian, Mexican ",Outdoor seatingTakeawayDeliveryBookingWheelchair accessible,Owais Ahmed,"Best non meat restaurant in town. . Very affordable. . . Very delicious. . . Service: Dine in Meal type: Dinner Price per person: ?400Â600 Food: 5 Service: 5 Atmosphere: 3 Recommended dishes: Tortillas with Guacamole, Chimichanga, Beans Burrito Large"
3,Ima's Vegetarian Restaurant,"333 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0," Vegetarian Vegetarian, Mexican ",Outdoor seatingTakeawayDeliveryBookingWheelchair accessible,Caro Diaz,Super tasty vegan food! Service: Dine in Meal type: Dinner Food: 5 Service: 5 Atmosphere: 5
3,Ima's Vegetarian Restaurant,"333 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0," Vegetarian Vegetarian, Mexican ",Outdoor seatingTakeawayDeliveryBookingWheelchair accessible,Hasse Hansson,Ima delivered very tasty food for a good price in her relaxing restaurant covered with plants from ground to roof. A must visit for every vegetarian :) We came back numerous times! Service: Dine in Meal type: Dinner Price per person: ?1Â200 Food: 5 Service: 5 Atmosphere: 5
3,Ima's Vegetarian Restaurant,"333 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0," Vegetarian Vegetarian, Mexican ",Outdoor seatingTakeawayDeliveryBookingWheelchair accessible,Anna-Sara Isakson,Can't recommend this place enough! So many options and good prices. We ate here atleast once everyday during our stay in PP. Super cosy atmosphere and lovely owner :-) Food: 5 Service: 5 Atmosphere: 5
3,Ima's Vegetarian Restaurant,"333 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0," Vegetarian Vegetarian, Mexican ",Outdoor seatingTakeawayDeliveryBookingWheelchair accessible,Tahlia McGregor,"Friendly service, cute small vibe seems like itÂs run by a family. Food was delicious! I had the bean burrito, so many options. Wish we had more time to eat more"
3,Ima's Vegetarian Restaurant,"333 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0," Vegetarian Vegetarian, Mexican ",Outdoor seatingTakeawayDeliveryBookingWheelchair accessible,Leon Pope,"Home cooked, warm & welcoming place packed with plants. Lovely homemade juices, and a super menu with endless options for both vegetarian & vegans. Honestly could have stayed in Puerto Princessa longer just to come back for the food."
3,Ima's Vegetarian Restaurant,"333 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0," Vegetarian Vegetarian, Mexican ",Outdoor seatingTakeawayDeliveryBookingWheelchair accessible,Jayme Boehnert,"Our go-to place for quality vegetarian food in Puerto Prinsesa City, Palawan. Recommending their burritos w/ Ima's blend Service: Dine in Meal type: Lunch Food: 5 Service: 5 Atmosphere: 5"
3,Ima's Vegetarian Restaurant,"333 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0," Vegetarian Vegetarian, Mexican ",Outdoor seatingTakeawayDeliveryBookingWheelchair accessible,Anneloes Velt,The Mexican dishes are the best! So much choice it makes it hard to choose. Service is super fast and staff is super friendly. Our new favorite place in Puerto Princesa!
