,Hotel Name,Author,Country,Review
1,Corto del Mar Hotel,Matt, South Africa,Liked · We were really happy here!! It is so closely situated to the center of town and to the docks where all the tours leave from. The staff were amazing and the front desk helped us with every request.
2,Corto del Mar Hotel,Robert, Australia,"Liked · The decor and design of the hotel was really nice. The food was excellent. Great location, walking distance to everything."
3,Corto del Mar Hotel,Naomi, New Zealand,"Liked · Staff were lovely and even prepared breakfast for us when we had to leave the hotel before 5am. They ensured we were comfortable.
Bed was comfortable. Pool looked great. Good amenities in room.
Quiet.

Disliked · Poor shower stream"
4,Corto del Mar Hotel,Vicki, United States of America,"Liked · Clean, bed and bedding comfortable. Good location, close to market and restaurants. Staff were exceptional and breakfast varied everyday with many choices. Good lunch and dinner menu. Pool large and temperature was great. Hot water and good pressure. Room serviced every day.

Disliked · Dinner food could have been better."
5,Corto del Mar Hotel,Divina, United States of America,Liked · Everything was awesome. Food was great. Rooms were awesome too!
6,Corto del Mar Hotel,Paul, United States of America,Liked · Staff were very friendly
7,Corto del Mar Hotel,Tolu, United Kingdom,"Liked · Attentive and friendly staff, beautiful facilities, relaxing environment, great location"
8,Corto del Mar Hotel,Jan,,Liked · excellent people!
9,Corto del Mar Hotel,Jan,,Liked · excellent people!
10,Corto del Mar Hotel,, Netherlands,"Liked · Rooms and Location are great! Loved the pool.

Disliked · If anything: the pool can have better maintenance. Mold and floating chlorinetubes do not represent the rest of the quality of the hotel"
11,Corto del Mar Hotel,Adrian, Australia,Liked · Whats not to like. I have been staying here for over 10 years now and this hotel never fails to dissapoint. The staff are amazing as are the owners.
12,Corto del Mar Hotel,Arjen, Philippines,"Liked · Ambiance, location , spacious rooms, staff.were all great. We had the large rooms at the seaside. Internet in room was fine. Reception staff really wonderful.

Disliked · Small thing: washing basin remains wet.
No bedside lamps in some rooms. Beds a bit hard. But actually all fine."
13,Corto del Mar Hotel,Bonnin, France,"Liked · Perfect, comfortable and staff is very good"
14,Corto del Mar Hotel,Kenneth, United States of America,"Liked · Room was nice, restaurant good."
15,Corto del Mar Hotel,Michael, New Zealand,"Liked · The hotel is like a big private walled retreat (with a large pool in the middle) at the edge of the town. It’s within easy walking distance of the centre and restaurants, and convenient for island hopping or diving trips. The rooms are very clean and comfortable. The reception staff are just wonderful, and make the visit very pleasant. I rebooked there on my return to Coron from el nido a few days later.

Disliked · It’s a bit of an art (which I didn’t fully master) getting the shower temperature right."
16,Corto del Mar Hotel,Josel, Qatar,"Liked · Everything in the Hotel I liked. The location pool, rooms, breakfast, views.

Disliked · It would be better if the Hotel had an elevator."
17,Corto del Mar Hotel,Rocaya, Switzerland,Liked · The service was excellent and the cuisine the best!
18,Corto del Mar Hotel,Gal, Czech Republic,"Liked · Lovely and cozy place in the Center on Coron surrounded by the hectic vibe of Coron but gives you a peaceful place to sleep, dine and relax"
19,Corto del Mar Hotel,Cathy, Philippines,"Liked · What made us return to this romantic hotel is not just the wonderfully clever and detailed design of the hotel itself, it’s also the friendly team and the cleanliness. The team always seems to aim (and achieve) to go above and beyond by taking their time to learn about your plans and finding ways to assist. We casually told of our plans to take a ferry to El Nido upon check-out and the next morning we were informed that transport to the ferry would be ready. We did not even tell them at what time we would leave but they planned it spot-on. The ladies truly know how to anticipate the needs of their guests. The service at the bar/restaurant is good, especially combined with the meals and drinks they deliver.
Our favorite hotel on one of the most beautiful islands we have seen on our travels."
